Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
111	26	16	0.00868	0.01295	2.158e+02	0.136	0.409	GO:0042246
112	32	15	0.00865	0.01158	4.105e+02	-0.04	0.402	GO:0070830
113	32	18	0.00857	0.0257	3.576e+02	0.119	0.431	GO:0048706
114	42	22	0.0085	0.01796	6.501e+02	0.013	0.482	GO:0035136
115	106	68	0.00849	0.02255	3.317e+03	0.113	0.505	GO:0050920
116	75	45	0.00843	0.01726	1.812e+03	0.045	0.535	GO:0051170
117	31	19	0.00842	0.0154	3.067e+02	0.12	0.434	GO:0035116
118	36	16	0.0082	0.0174	5.363e+02	-0.031	0.362	GO:0021766
119	33	19	0.0078	0.01542	3.716e+02	0.091	0.436	GO:0016358
120	115	53	0.00773	0.01486	5.243e+03	-0.008	0.427	GO:0006766
121	84	43	0.00762	0.01978	2.618e+03	0.035	0.441	GO:0031099
122	60	28	0.00756	0.01984	1.428e+03	-0.078	0.482	GO:0030148
123	33	19	0.00747	0.02215	3.716e+02	-0.018	0.479	GO:0045776
124	120	60	0.00731	0.01223	5.409e+03	0.03	0.425	GO:0031175
125	51	26	0.00727	0.00952	9.743e+02	0.024	0.493	GO:0072655
126	27	17	0.00722	0.01354	2.258e+02	0.098	0.468	GO:0060740
127	29	16	0.00695	0.01099	2.997e+02	0.024	0.506	GO:0009394
128	29	14	0.00668	0.01528	3.316e+02	-0.021	0.41	GO:0043588
129	33	17	0.00666	0.0117	4.085e+02	0.028	0.455	GO:0032370
130	144	64	0.00655	0.00759	8.388e+03	-0.015	0.419	GO:0044272
131	55	37	0.00652	0.01034	8.369e+02	0.154	0.459	GO:0002824
132	111	67	0.00646	0.01354	3.927e+03	0.1	0.48	GO:0045787
133	24	14	0.00636	0.01413	1.959e+02	0.074	0.388	GO:0042537
134	37	19	0.00583	0.01188	5.133e+02	-0.035	0.472	GO:0010833
135	27	15	0.00582	0.01747	2.588e+02	0.094	0.43	GO:0050663
136	39	26	0.0058	0.01494	4.296e+02	0.192	0.428	GO:0060420
137	26	12	0.00573	0.01456	2.757e+02	0.121	0.341	GO:2000243
138	46	27	0.00568	0.01143	7.030e+02	0.058	0.556	GO:0030010
139	22	13	0.00558	0.00748	1.629e+02	0.009	0.53	GO:0032201
140	21	13	0.00552	0.01171	1.409e+02	0.103	0.54	GO:0021522
141	130	67	0.00549	0.00798	6.211e+03	-0.005	0.462	GO:0010951
142	26	14	0.00542	0.01084	2.468e+02	0.057	0.471	GO:0018022
143	23	16	0.00535	0.0083	1.409e+02	0.172	0.537	GO:0050927
144	24	11	0.00534	0.01067	2.368e+02	0.002	0.403	GO:0070588
145	21	9	0.00532	0.01302	1.908e+02	-0.003	0.417	GO:0014003
146	21	12	0.00522	0.00983	1.539e+02	0.086	0.45	GO:0042116
147	91	49	0.00518	0.01088	2.953e+03	0.005	0.499	GO:0007162
148	32	16	0.00516	0.01036	3.926e+02	0.029	0.466	GO:0070206
149	30	19	0.005	0.00957	2.758e+02	0.045	0.505	GO:0046638
150	20	14	0.00487	0.00944	1.059e+02	0.198	0.43	GO:0031497
151	25	12	0.00475	0.01295	2.488e+02	0.007	0.424	GO:0006760
152	27	16	0.00458	0.00761	2.428e+02	0.131	0.425	GO:0010743
153	57	28	0.00454	0.00762	1.247e+03	0.018	0.49	GO:0072524
154	24	16	0.00433	0.00799	1.649e+02	0.132	0.567	GO:0014072
155	40	23	0.00433	0.00775	5.443e+02	0.131	0.341	GO:0048639
