GO:0031334	TRABD2B HRK CDC42EP2 BCL2L11 BCL2L11 TPPP TGFB1 TNF IFNG TFRC MMP1 RHOC MMP3 CLU VEGFA VEGFA TAL1 LGALS3 WARS1 RPS3 CDH5 SYK GSK3B VCP BID BID TCL1A TIRAP SUMO1 RACK1 NRG1 NRG1 BAX BAX BIK SPIDR PPP2R5B BAK1 MPP7 MPP7 DAB2IP TRABD2A SLF2 MTLN FNIP1 BRK1 AJUBA BMF CRBN PARK7 SLF1 CLEC7A CDT1 GNL3L PIH1D1 FNIP2 FAF1 ICE1 SH3GLB1
GO:0090520	SMPD3
GO:0006220	ENPP3 DCK DCTD CTPS2
GO:0021793	PLXNA4
GO:0035640	CHL1 BRINP1 HTR1A GIP ITGA3 EIF4A3 ABL2 AGTR2 ATXN3 ABAT KMT2A NOG LRRK2 LRRTM1 JPH3
GO:1904879	G6PD CACNB2
GO:0001541	TAF4 VGF FANCG MSH4 SOD1 ANG AMH INHA MMP2 INHBA INHBA INHBB BCL2 KIT VEGFA CEBPB KITLG CTNNA1 KDR EIF2B2 MMP14 FOXL2 FOXL2 UBE3A BAX BCL2L1 FOXC1 EIF2B5 ATM SMAD4 SMAD4 DMC1 DMRTA1 LFNG ZNF830 IMMP2L MMP19 EIF2B4 SPO11 PCYT1B LHCGR
GO:0022414	PCSK4 LRRC52 ANTXR1 KCNU1
GO:0002038	PSEN1 ARL6IP1
GO:1904395	LRP4 MESD
GO:0022605	RPS6
GO:0021842	NRG3
GO:0038083	ABL1 EGFR EGFR NTRK1 INSR LCK IGF1R SRC MAPK3 LTK KDR BTK DDR1 DYRK1A DYRK1A PTK2B PTK2B SRMS ALK ALK AATK
GO:0045216	XIRP2 CLDN1 TGFB1 PKHD1 TGFB3 FLNA NF2 PRKCI TGFB2 CXADR SMAD3 TJP1 OCLN TMIGD1 NLGN4X MARVELD2 MARVELD3 CCM2 HEG1 LIMS1 TJP1 TJP3 TJP2 AJM1 LIMS2
GO:0140331	ATP8B1 ATP8B1 ATP11A TMEM30B ATP11C ATP8A2 TMEM30A ATP8A1 ATP8A1
GO:0072711	ATRX BLM RAD51 SPIDR DDI2 DDI1 DDX11 DDX11 NSMCE3 RTF2 TREX1 TIMELESS
GO:0071105	CITED1
GO:0106045	PARK7
GO:0120179	FER
GO:0006919	HIP1 APAF1 SLC22A2 JAK2 HIP1R PDCD6 TNFSF15 AIFM1 TNF S100A8 LCK S100A9 NGFR CTSH MAPT HSPD1 F3 F2R PML PPARG SNCA SLC1A1 XDH FASLG FASLG DAP P2RX1 VCP NLRP12 HSPE1 RACK1 SMAD3 BEX3 COL4A3 BAX BAX LAPTM5 PMAIP1 PDCD2 ACER2 RPS27L ANP32B BAD ATP2A3 MUL1 FAM162A DLC1 NKX3-1 NKX3-1 BCL2L13 NLRP1 NLRP1 EGLN3 PIDD1 ST20 BCL2L10 NLRC4 DIABLO IFT57 EIF2AK3 MTCH1 SENP1 CASP8AP2 CASP8AP2 PYCARD BOK NOD1 ROBO1 TNFSF15 CASP2 PYCARD BBC3 CASP10 KHDC1 PIDD1 NLRP1 KHDC1L CRADD HIP1R CASP8AP2 BID CASP8 CARD8 CASP9 HIP1
GO:0035023	OPHN1 FLOT1 RAF1 BCR ARHGDIA ARHGDIB ARHGDIB MYO9B KANK1 KANK2 EPS8L1 ARHGEF2 PDCD10 EPS8L2 CDC42SE2 CDC42SE1 DLC1 AKAP13 EPS8L1 STARD13 ARHGEF28 ARHGEF18 EPS8L2 EPS8 ARHGEF18 EPS8L3 ARHGEF2 STARD8
GO:0055003	TCAP OBSL1 PDGFRB MYL2 SRF PDGFRA CSRP3 ACTC1 MYLK3 ADPRHL1 TTN TTN MYLK3 FHOD3 TCAP
